start_time,heart_rate
2024-01-31,51.818224767005134
2024-02-29,52.55974476410267
2024-03-31,51.911672213330625
2024-04-30,52.478073703119364
2024-05-31,51.983050966463225
2024-06-30,52.415690205985584
2024-07-31,52.037572803058076
2024-08-31,52.36803929184556
2024-09-30,52.07921867854925
2024-10-31,52.33164169115462
2024-11-30,52.11102939978952
2024-12-31,52.30383980403522
2025-01-31,52.13532765199077
2025-02-28,52.28260365349983
2025-03-31,52.153887591439364
2025-04-30,52.26638266506026
2025-05-31,52.16806438693405
2025-06-30,52.25399245029333
2025-07-31,52.17889316851789
2025-08-31,52.24452832777436
2025-09-30,52.18716460832489
2025-10-31,52.23729926704064
2025-11-30,52.19348265213723
2025-12-31,52.23177743245037
